Frame,Visibility,X,Y
0,1,447,154
1,1,447,153
2,1,450,152
3,1,450,153
4,1,452,154
5,1,452,154
6,1,455,157
7,1,455,161
8,1,457,167
9,1,457,166
10,1,457,174
11,1,460,180
12,1,460,187
13,1,460,196
14,1,460,204
15,1,456,210
16,1,448,211
17,1,435,209
18,1,413,207
19,1,401,210
20,1,387,211
21,1,387,211
22,1,375,204
23,1,365,200
24,1,355,195
25,1,345,191
26,1,335,190
27,1,335,190
28,1,325,185
29,1,316,187
30,1,306,187
31,1,300,188
32,1,291,191
33,1,291,191
34,1,285,187
35,1,280,185
36,1,272,181
37,1,281,178
38,1,290,176
39,1,290,176
40,1,301,175
41,1,311,175
42,1,320,175
43,1,330,176
44,1,340,180
45,1,340,180
46,1,347,182
47,1,356,185
48,1,365,191
49,1,370,195
50,1,375,190
51,1,375,190
52,1,380,187
53,1,385,185
54,1,390,185
55,1,395,185
56,1,377,185
57,1,377,185
58,1,345,185
59,1,325,185
60,1,325,181
61,1,325,180
62,1,325,177
63,1,325,177
64,1,322,177
65,1,322,177
66,1,320,178
67,1,320,180
68,1,318,182
69,1,318,185
70,1,317,187
71,1,315,185
72,1,310,180
73,1,305,177
74,1,300,175
75,1,300,175
76,1,295,172
77,1,290,171
78,1,287,171
79,1,281,175
80,1,280,176
81,1,280,176
82,1,275,180
83,1,270,180
84,1,265,176
85,1,260,172
86,1,256,170
87,1,252,170
88,1,247,169
89,1,242,168
90,1,237,169
91,1,231,169
92,1,227,172
93,1,226,173
94,1,222,176
95,1,220,180
96,1,215,185
97,1,210,190
98,1,206,196
99,1,207,196
100,1,205,204
101,1,200,214
102,1,196,214
103,1,190,210
104,1,185,204
105,1,185,204
106,1,180,201
107,1,175,200
108,1,170,196
109,1,165,195
