Frame,Visibility,X,Y
0,1,259,167
1,1,251,172
2,1,242,169
3,1,232,171
4,1,227,169
5,1,222,169
6,1,212,167
7,1,206,166
8,1,202,165
9,1,202,165
10,1,201,165
11,1,200,166
12,1,197,169
13,1,198,170
14,1,197,173
15,1,197,178
16,1,196,185
17,1,201,190
18,1,220,195
19,1,220,195
20,1,237,200
21,1,252,206
22,1,270,211
23,1,281,212
24,1,292,210
25,1,295,210
26,1,305,206
27,1,315,204
28,1,325,204
29,1,335,206
30,1,345,210
31,1,345,210
32,1,356,210
33,1,365,214
34,1,375,219
35,1,380,216
36,1,390,211
37,1,390,211
38,1,382,208
39,1,370,204
40,1,356,201
41,1,345,200
42,1,335,200
43,1,322,200
44,1,320,200
45,1,311,201
46,1,300,203
47,1,290,204
48,1,280,210
49,1,270,214
50,1,270,214
51,1,260,219
52,1,255,214
53,1,247,210
54,1,242,206
55,1,240,204
56,1,237,204
57,1,232,204
58,1,227,204
59,1,227,204
60,1,256,204
61,1,277,203
62,1,277,203
63,1,297,204
64,1,317,204
65,1,335,206
66,1,355,210
67,1,370,214
68,1,370,214
69,1,390,217
70,1,405,219
71,1,415,216
72,1,430,214
73,1,441,212
74,1,441,212
75,1,455,212
76,1,465,214
77,1,432,203
78,1,390,192
79,1,356,185
80,1,356,185
81,1,323,182
82,1,292,182
83,1,267,182
84,1,243,185
85,1,226,188
86,1,226,188
87,1,195,175
88,1,212,172
89,1,256,180
90,1,297,190
91,1,340,201
92,1,340,201
93,1,377,214
94,1,415,230
95,1,457,232
96,1,487,236
97,1,495,236
98,1,498,239
99,1,503,247
100,1,508,248
101,1,499,250
102,1,503,262
103,1,510,275
104,1,519,292
105,1,524,309
106,1,525,325
