Frame,Visibility,X,Y
0,1,306,161
1,1,289,161
2,1,258,173
3,1,254,178
4,1,252,174
5,1,238,178
6,1,231,178
7,1,225,178
8,1,213,176
9,1,205,176
10,1,202,174
11,1,201,174
12,1,200,175
13,1,200,176
14,1,197,177
15,1,197,178
16,1,202,182
17,1,203,188
18,1,208,194
19,1,211,200
20,1,217,206
21,1,217,206
22,1,241,211
23,1,257,214
24,1,280,210
25,1,296,206
26,1,315,204
27,1,315,204
28,1,330,204
29,1,345,204
30,1,360,204
31,1,375,206
32,1,390,210
33,1,390,210
34,1,405,211
35,1,415,214
36,1,425,210
37,1,435,204
38,1,446,203
39,1,447,203
40,1,455,201
41,1,434,200
42,1,395,200
43,1,345,204
44,1,301,214
45,1,301,214
46,1,257,225
47,1,216,222
48,1,172,220
49,1,131,223
50,1,116,222
51,1,139,216
52,1,187,200
53,1,236,187
54,1,286,177
55,1,320,172
56,1,351,169
57,1,352,171
58,1,380,168
59,1,407,171
60,1,435,176
61,1,455,181
62,1,475,190
63,1,475,187
64,1,491,183
65,1,507,179
66,1,527,177
67,1,545,168
68,1,563,160
69,1,565,160
70,1,580,153
71,1,595,149
72,1,605,145
73,1,620,145
74,1,630,145
75,1,628,142
