Frame,Visibility,X,Y
0,1,445,157
1,1,445,154
2,1,445,154
3,1,447,154
4,1,447,154
5,1,450,154
6,1,450,156
7,1,452,160
8,1,452,160
9,1,455,161
10,1,455,166
11,1,457,180
12,1,457,187
13,1,457,196
14,1,457,201
15,1,457,211
16,1,451,215
17,1,441,217
18,1,427,216
19,1,403,213
20,1,387,210
21,1,367,201
22,1,350,195
23,1,330,190
24,1,317,188
25,1,316,188
26,1,301,185
27,1,287,185
28,1,272,187
29,1,260,190
30,1,245,192
31,1,245,192
32,1,235,185
33,1,236,181
34,1,260,180
35,1,282,181
36,1,305,182
37,1,305,182
38,1,325,185
39,1,350,190
40,1,370,195
41,1,390,203
42,1,407,204
43,1,407,204
44,1,430,201
45,1,452,201
46,1,475,201
47,1,495,201
48,1,506,203
49,1,513,206
50,1,528,207
51,1,521,206
52,1,477,197
53,1,430,190
54,1,385,185
55,1,385,185
56,1,345,187
57,1,310,190
58,1,277,195
59,1,255,195
60,1,212,185
61,1,212,185
62,1,181,177
63,1,181,173
64,1,225,171
65,1,263,172
66,1,300,175
67,1,333,180
68,1,333,180
69,1,365,185
70,1,385,190
71,1,425,180
72,1,452,175
73,1,480,171
74,1,480,171
75,1,502,169
76,1,525,169
77,1,545,171
78,1,541,167
79,1,510,165
80,1,510,165
81,1,467,165
82,1,430,165
83,1,394,170
84,1,360,177
85,1,330,187
86,1,328,187
87,1,300,198
88,1,272,211
89,1,241,206
90,1,215,206
91,1,185,208
92,1,185,208
93,1,158,211
94,1,129,217
95,1,113,223
96,1,182,210
97,1,231,204
98,1,250,202
99,1,280,201
100,1,320,201
101,1,356,206
102,1,380,210
103,1,423,195
104,1,423,195
105,1,455,187
106,1,485,181
107,1,510,180
108,1,532,178
109,1,505,172
110,1,505,173
111,1,472,169
112,1,445,165
113,1,415,165
114,1,390,165
115,1,372,165
116,1,356,167
117,1,342,171
118,1,320,176
119,1,301,182
120,1,282,190
121,1,268,195
122,1,268,195
123,1,245,187
124,1,226,181
125,1,207,177
126,1,190,175
127,1,175,173
128,1,175,172
129,1,157,173
130,1,137,171
131,1,147,172
132,1,187,171
133,1,225,175
134,1,225,175
135,1,260,178
136,1,297,187
137,1,325,195
138,1,355,208
139,1,375,214
140,1,375,214
141,1,417,210
142,1,447,210
143,1,477,210
144,1,505,211
145,1,535,216
146,1,532,216
147,1,560,223
148,1,575,228
149,1,566,224
150,1,522,214
151,1,480,204
152,1,480,204
153,1,440,198
154,1,405,195
155,1,372,195
156,1,345,197
157,1,325,201
158,1,325,201
159,1,323,195
160,1,325,192
161,1,328,190
162,1,330,188
163,1,330,187
164,1,332,187
165,1,335,185
166,1,335,187
167,1,335,188
168,1,337,185
169,1,335,182
170,1,335,181
171,1,335,177
172,1,335,175
173,1,335,173
174,1,335,172
175,1,335,171
176,1,335,172
177,1,332,172
178,1,332,175
179,1,330,176
180,1,330,178
181,1,329,177
182,1,326,176
183,1,326,175
184,1,329,173
185,1,326,173
186,1,328,171
187,1,323,166
188,1,319,167
189,1,320,167
190,1,316,165
191,1,314,165
192,1,311,167
193,1,307,167
194,1,306,169
195,1,306,171
196,1,305,170
197,1,301,170
198,1,300,172
199,1,296,174
200,1,296,174
