Frame,Visibility,X,Y
0,1,253,182
1,1,243,183
2,1,248,180
3,1,224,189
4,1,219,193
5,1,224,198
6,1,223,202
7,1,232,208
8,1,251,214
9,1,252,214
10,1,276,209
11,1,295,206
12,1,312,204
13,1,330,204
14,1,350,204
15,1,350,204
16,1,365,206
17,1,382,210
18,1,397,212
19,1,406,212
20,1,408,210
21,1,406,205
22,1,405,200
23,1,399,201
24,1,399,191
25,1,394,192
26,1,404,192
27,1,418,195
28,1,437,197
29,1,452,198
30,1,450,195
31,1,422,188
32,1,396,185
33,1,396,185
34,1,370,181
35,1,345,181
36,1,325,182
37,1,305,185
38,1,282,190
39,1,282,190
40,1,265,195
41,1,245,201
42,1,230,210
43,1,206,200
44,1,186,193
45,1,187,193
46,1,166,187
47,1,150,186
48,1,146,183
49,1,150,181
50,1,172,180
51,1,194,180
52,1,220,182
53,1,265,185
54,1,307,195
55,1,345,204
56,1,383,217
57,1,383,217
58,1,410,219
59,1,460,211
60,1,497,210
61,1,532,210
62,1,516,208
63,1,480,200
64,1,457,198
65,1,405,195
66,1,360,195
67,1,320,195
68,1,285,201
69,1,285,201
70,1,250,188
71,1,217,177
72,1,187,171
73,1,162,165
74,1,150,167
75,1,151,165
76,1,164,164
77,1,202,165
78,1,232,168
79,1,287,176
80,1,320,185
81,1,320,187
82,1,355,200
83,1,383,212
84,1,417,210
85,1,450,210
86,1,480,210
87,1,480,210
88,1,512,211
89,1,542,217
90,1,481,205
91,1,415,198
92,1,412,198
93,1,367,195
94,1,330,200
95,1,296,203
96,1,267,210
97,1,237,200
98,1,237,200
99,1,207,190
100,1,173,183
101,1,155,181
102,1,169,178
103,1,210,177
104,1,210,178
105,1,250,180
106,1,286,181
107,1,317,187
108,1,347,195
109,1,375,200
110,1,375,200
111,1,396,204
112,1,427,197
113,1,455,192
114,1,480,190
115,1,505,190
116,1,505,190
117,1,509,185
118,1,486,177
119,1,455,169
120,1,430,165
121,1,405,161
122,1,405,161
123,1,380,160
124,1,355,157
125,1,335,160
126,1,313,161
127,1,295,165
128,1,296,165
129,1,277,169
130,1,262,174
131,1,245,180
132,1,230,187
133,1,215,195
134,1,215,195
135,1,202,204
136,1,191,211
137,1,181,222
138,1,171,230
139,1,157,225
140,1,156,223
141,1,142,217
