Frame,Visibility,X,Y
0,1,210,177
1,1,207,176
2,1,206,176
3,1,205,177
4,1,202,180
5,1,203,183
6,1,202,186
7,1,200,190
8,1,203,193
9,1,210,195
10,1,221,200
11,1,237,201
12,1,237,201
13,1,255,206
14,1,266,204
15,1,277,200
16,1,290,195
17,1,300,195
18,1,300,195
19,1,310,191
20,1,320,190
21,1,330,190
22,1,337,191
23,1,345,193
24,1,355,195
25,1,355,195
26,1,360,195
27,1,367,191
28,1,370,188
29,1,365,187
30,1,355,188
31,1,355,190
32,1,345,190
33,1,335,191
34,1,325,195
35,1,316,200
36,1,307,204
37,1,307,204
38,1,300,210
39,1,291,217
40,1,285,225
41,1,277,226
42,1,271,225
43,1,271,225
44,1,265,225
45,1,260,225
46,1,260,225
47,1,280,219
48,1,296,214
49,1,296,216
50,1,312,211
51,1,325,210
52,1,332,204
53,1,340,201
54,1,345,200
55,1,345,200
56,1,352,197
57,1,360,197
58,1,365,197
59,1,370,200
60,1,375,200
61,1,375,200
62,1,380,195
63,1,385,191
64,1,387,188
65,1,390,185
66,1,395,185
67,1,395,185
68,1,385,182
69,1,370,182
70,1,351,182
71,1,335,182
72,1,320,182
73,1,320,182
74,1,307,185
75,1,292,185
76,1,280,190
77,1,266,190
78,1,257,187
79,1,257,187
80,1,246,185
81,1,237,182
82,1,227,182
83,1,220,181
84,1,216,181
85,1,224,180
86,1,245,180
87,1,268,181
88,1,290,185
89,1,310,190
90,1,330,195
91,1,330,195
92,1,350,201
93,1,370,210
94,1,385,219
95,1,400,219
96,1,427,219
97,1,427,219
98,1,450,220
99,1,455,220
100,1,415,210
101,1,390,204
102,1,365,201
103,1,365,201
104,1,340,200
105,1,320,200
106,1,300,201
107,1,280,204
108,1,261,208
109,1,261,208
110,1,245,206
111,1,227,197
112,1,211,192
113,1,197,187
114,1,181,185
115,1,181,185
116,1,167,181
117,1,152,181
118,1,140,181
119,1,130,182
120,1,134,184
121,1,150,182
122,1,177,181
123,1,212,180
124,1,252,185
125,1,290,190
126,1,325,197
127,1,325,197
128,1,357,208
129,1,390,219
130,1,415,219
131,1,460,217
132,1,487,217
133,1,487,217
134,1,450,206
135,1,410,197
136,1,380,193
137,1,347,190
138,1,320,190
139,1,320,190
140,1,295,190
141,1,271,191
142,1,257,190
143,1,230,177
144,1,207,169
145,1,206,169
146,1,187,162
147,1,182,160
148,1,230,169
149,1,270,181
150,1,306,193
151,1,307,193
152,1,345,206
153,1,375,220
154,1,415,219
155,1,455,222
156,1,492,226
157,1,492,226
158,1,479,222
159,1,482,228
160,1,497,243
161,1,525,250
162,1,530,257
163,1,543,273
164,1,567,293
165,1,570,310
166,1,576,325
167,1,580,346
